platform,status,artifact_type,package,version,public_url,repository_url,credential_status,blocked_reason,verification_result,checked_at
cocoapods,verified,swift_pod,SeedAudioAISiteKit,0.1.0,https://cocoapods.org/pods/SeedAudioAISiteKit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used_via_github_actions_secret,,"CocoaPods public page returned v0.1.0 with homepage, GitHub repo, and README links",2026-07-02T11:45:00Z
luarocks,verified,lua_rock,seed-audio-ai-site-kit,0.1.0-1,https://luarocks.org/modules/bbwdadfg/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,LuaRocks public page returned 0.1.0-1 with homepage link,2026-07-02T11:45:00Z
cpan_metacpan,verified,perl_distribution,Seed-Audio-AI-SiteKit,0.1.0,https://metacpan.org/release/Seed-Audio-AI-SiteKit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,browser_session_used; keychain_token_rejected_for_cli,,MetaCPAN API returned Seed-Audio-AI-SiteKit v0.1.0 with homepage and GitHub repository resources,2026-07-02T12:55:00Z
chocolatey,submitted,chocolatey_package,seed-audio-ai-site-kit,0.1.0,https://community.chocolatey.org/packages/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_available,,"Chocolatey package page returned HTTP 200 with Pending automated review, pending validation, pending verification, and pending scan testing status",2026-07-02T13:15:00Z
github_packages,verified,npm_package,@bbwdadfg/seed-audio-ai-site-kit,0.1.0,https://github.com/users/bbwdadfg/packages/npm/package/seed-audio-ai-site-kit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,Unauthenticated GitHub Packages page returned HTTP 200 for the npm package,2026-07-02T12:15:00Z
gitlab_package_registry,verified,gitlab_generic_package,baiwei.chu/seed-audio-ai-site-kit:seed-audio-ai-site-kit,0.1.0,https://gitlab.com/baiwei.chu/seed-audio-ai-site-kit/-/packages/63344425,https://gitlab.com/baiwei.chu/seed-audio-ai-site-kit,keychain_token_used,,GitLab public project and package pages returned HTTP 200; unauthenticated artifact download SHA256 matched local archive 3dbbe2b4cfbda2374656b4747b629cb7605a739a4810142e4bc7de19943e9e6c,2026-07-02T12:55:00Z
homebrew,verified,homebrew_formula_tap,bbwdadfg/tap/seed-audio-ai-pwa-toolkit,0.1.0,https://github.com/bbwdadfg/homebrew-tap/blob/main/Formula/seed-audio-ai-pwa-toolkit.rb,https://github.com/bbwdadfg/homebrew-tap,gh_auth_used,,"brew tap, brew install, brew test, and CLI smoke test returned https://seedaud.io/ for bbwdadfg/tap/seed-audio-ai-pwa-toolkit 0.1.0",2026-07-02T15:22:48Z
helm_artifact_hub,verified,helm_chart,seed-audio-ai-pwa-toolkit,0.1.0,https://artifacthub.io/packages/helm/seed-audio-ai-pwa-helm-charts/seed-audio-ai-pwa-toolkit,https://raw.githubusercontent.com/bbwdadfg/seed-audio-ai-pwa-helm-charts/main,gh_auth_used,,"Artifact Hub package API returned seed-audio-ai-pwa-toolkit version 0.1.0 from repository seed-audio-ai-pwa-helm-charts with verified_publisher=true and links to https://seedaud.io/, https://seedaud.io/text-to-speech/, and the GitHub source repository.",2026-07-02T16:35:00Z
terraform_registry,verified,terraform_module,bbwdadfg/seed-audio-ai-pwa-toolkit/null,v0.1.0,https://registry.terraform.io/modules/bbwdadfg/seed-audio-ai-pwa-toolkit/null/latest,https://github.com/bbwdadfg/terraform-null-seed-audio-ai-pwa-toolkit,logged_in_chrome_hcp_github_oauth_used; no_token_recorded,,"Imported through HCP Terraform public namespace bbwdadfg from GitHub repo bbwdadfg/terraform-null-seed-audio-ai-pwa-toolkit; Registry API returned HTTP 200 for bbwdadfg/seed-audio-ai-pwa-toolkit/null with version 0.1.0, tag v0.1.0, source repository, README, inputs, outputs, and examples; public module page returned HTTP 200.",2026-07-02T16:27:12Z
ansible_galaxy,verified,ansible_collection,bbwdadfg.seed_audio_ai_pwa_toolkit,0.1.0,https://galaxy.ansible.com/ui/repo/published/bbwdadfg/seed_audio_ai_pwa_toolkit/,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,ansible-galaxy collection build passed; local module call returned Seed Audio AI links; Galaxy publish/import succeeded; public page returned HTTP 200 and API highest_version is 0.1.0.,2026-07-02T15:22:48Z
open_vsx,verified,vscode_compatible_extension,bbwdadfg.seed-audio-ai-pwa-toolkit,0.1.0,https://open-vsx.org/extension/bbwdadfg/seed-audio-ai-pwa-toolkit,https://github.com/bbwdadfg/seed-audio-ai-site-kit,keychain_token_used,,"Open VSX API returned HTTP 200 for bbwdadfg.seed-audio-ai-pwa-toolkit version 0.1.0 with homepage https://seedaud.io/, repository https://github.com/bbwdadfg/seed-audio-ai-site-kit.git, downloadable=true, and VSIX download URL.",2026-07-02T17:58:00Z
conda_forge,submitted,conda_recipe,seed-audio-ai-site-kit,0.1.0,https://github.com/conda-forge/staged-recipes/pull/34033,https://github.com/bbwdadfg/seed-audio-ai-site-kit,no_credentials_required_for_local_recipe; github_pr_review_required_for_publish,Conda-forge staged-recipes PR is open with all CI checks passing after recipe fixes in commits 67c24b9902 and a5b5c421f8. Await conda-forge maintainer review/merge and feedstock or Anaconda package page before marking verified.,"Conda-forge PR #34033 CI passed after staged-recipes commits 67c24b9902 and a5b5c421f8: conda-forge-linter pass, linter pass, Azure staged-recipes pass, linux_64 pass, win_64 pass, osx_64 pass, build status pass, fast finish pass, and check skip pass. Await maintainer merge/feedstock before marking verified.",2026-07-02T18:18:03Z
cran,submitted,r_package,seedAudioAiPwaToolkit,0.1.0,,https://github.com/bbwdadfg/seed-audio-ai-site-kit,no_credentials_required_for_local_check; maintainer_email_confirmation_required_for_submission,CRAN maintainer confirmation is complete and the package has been submitted to the CRAN team; public CRAN package page still returns 404 until CRAN review/indexing completes.,"CRAN Step 3 confirmation page reported the package was successfully uploaded to the CRAN submission team; https://cran.r-project.org/web/packages/seedAudioAiPwaToolkit/index.html still returned HTTP 404, so this is submitted, not verified.",2026-07-02T16:45:00Z
flathub,blocked_review,desktop_app,io.seedaud.SeedAudioAiPwaToolkit,0.1.0,,https://github.com/bbwdadfg/seed-audio-ai-site-kit,no_credentials_required_for_local_files; flathub_pr_review_required_for_publish,"Flatpak submission requires flatpak-builder/AppStream validation and Flathub PR review. This Mac has no flatpak, flatpak-builder, appstreamcli, or desktop-file-validate installed.","Prepared a minimal desktop launcher manifest plus desktop/metainfo files; Python launcher compiled, Flatpak YAML parsed, and metainfo XML parsed locally.",2026-07-02T15:22:48Z
